ratio,pool_seed,model_seed,policy,param,cost_rate,avail,n_prev,n_fail,fails_per_1000,wear_fails,false30_rate,mean_rem_at_prev,op
5,2,2,risk,0.5,0.14195452411295192,0.794849922695527,19.0,381.0,25.555033872157757,72.0,0.7368421052631579,53.14138099963939,14909.0
5,2,2,rul,16,0.1286110518455302,0.8104789901435241,89.0,311.0,22.117914799800868,2.0,0.02247191011235955,20.073120317022003,14061.0
5,2,2,risk_gated,0.5,0.14265275316663384,0.7940486737193183,6.0,394.0,25.858108551552142,74.0,0.3333333333333333,25.993276959891404,15237.0
5,2,2,rul_gated,16,0.12976846747519294,0.8090990187332738,72.0,328.0,22.601984564498345,13.0,0.0,16.09208853674069,14512.0
10,2,2,reactive,,0.27416933220184087,0.7929499456493607,0.0,400.0,26.11136497160389,79.0,0.0,0.0,15319.0
10,2,2,periodic,40,0.24063201196709053,0.8034855769230769,173.0,227.0,21.222887060583396,0.0,1.0,45.94240068372321,10696.0
10,2,2,risk,0.5,0.2697296934737407,0.794849922695527,19.0,381.0,25.555033872157757,72.0,0.7368421052631579,53.14138099963939,14909.0
10,2,2,rul,16,0.23920062584453453,0.8104789901435241,89.0,311.0,22.117914799800868,2.0,0.02247191011235955,20.073120317022003,14061.0
10,2,2,risk_gated,0.5,0.2719432959243946,0.7940486737193183,6.0,394.0,25.858108551552142,74.0,0.3333333333333333,25.993276959891404,15237.0
10,2,2,rul_gated,16,0.24277839029768467,0.8090990187332738,72.0,328.0,22.601984564498345,13.0,0.0,16.09208853674069,14512.0
20,2,2,reactive,,0.5352829819178797,0.7929499456493607,0.0,400.0,26.11136497160389,79.0,0.0,0.0,15319.0
20,2,2,periodic,40,0.45286088257292445,0.8034855769230769,173.0,227.0,21.222887060583396,0.0,1.0,45.94240068372321,10696.0
20,2,2,risk,0.5,0.5252800321953183,0.794849922695527,19.0,381.0,25.555033872157757,72.0,0.7368421052631579,53.14138099963939,14909.0
20,2,2,rul,16,0.4603797738425432,0.8104789901435241,89.0,311.0,22.117914799800868,2.0,0.02247191011235955,20.073120317022003,14061.0
20,2,2,risk_gated,0.5,0.530524381439916,0.7940486737193183,6.0,394.0,25.858108551552142,74.0,0.3333333333333333,25.993276959891404,15237.0
20,2,2,rul_gated,16,0.4687982359426681,0.8090990187332738,72.0,328.0,22.601984564498345,13.0,0.0,16.09208853674069,14512.0
2,2,3,reactive,,0.06527841242900972,0.7929499456493607,0.0,400.0,26.11136497160389,79.0,0.0,0.0,15319.0
2,2,3,periodic,60,0.06309638286855537,0.8105402002518136,105.0,295.0,21.821140616909535,0.0,0.24761904761904763,25.670019301769724,13519.0
2,2,3,risk,0.8,0.06527224001568731,0.7930641231662433,1.0,399.0,26.080135956598472,79.0,1.0,45.76755663112605,15299.0
2,2,3,rul,8,0.0609498147524419,0.8111578602262172,68.0,332.0,22.36443246884473,15.0,0.0,11.374602516704464,14845.0
2,2,3,risk_gated,0.8,0.06527841242900972,0.7929499456493607,0.0,400.0,26.11136497160389,79.0,0.0,0.0,15319.0
2,2,3,rul_gated,8,0.06250991801110817,0.8039549223899638,39.0,361.0,23.86934673366834,42.0,0.0,7.801216113687408,15124.0
5,2,3,reactive,,0.1436125073438214,0.7929499456493607,0.0,400.0,26.11136497160389,79.0,0.0,0.0,15319.0
5,2,3,periodic,60,0.12855980471928397,0.8105402002518136,105.0,295.0,21.821140616909535,0.0,0.24761904761904763,25.670019301769724,13519.0
5,2,3,risk,0.5,0.14237057220708446,0.7943722943722944,25.0,375.0,25.544959128065393,69.0,0.76,55.78379571964363,14680.0
5,2,3,rul,16,0.12811590085931396,0.8110707908530614,90.0,310.0,22.01548185498189,0.0,0.044444444444444446,19.75346167699122,14081.0
5,2,3,risk_gated,0.5,0.14295714191375555,0.7936998794486084,8.0,392.0,25.886548240110944,75.0,0.625,48.6118513308114,15143.0
5,2,3,rul_gated,16,0.12930488644184446,0.8096511757494707,73.0,327.0,22.50516173434274,12.0,0.0273972602739726,15.794028208212293,14530.0
10,2,3,reactive,,0.27416933220184087,0.7929499456493607,0.0,400.0,26.11136497160389,79.0,0.0,0.0,15319.0
10,2,3,periodic,40,0.24063201196709053,0.8034855769230769,173.0,227.0,21.222887060583396,0.0,1.0,45.94240068372321,10696.0
10,2,3,risk,0.5,0.27009536784741145,0.7943722943722944,25.0,375.0,25.544959128065393,69.0,0.76,55.78379571964363,14680.0
10,2,3,rul,16,0.23819331013422343,0.8110707908530614,90.0,310.0,22.01548185498189,0.0,0.044444444444444446,19.75346167699122,14081.0
10,2,3,risk_gated,0.5,0.2723898831143102,0.7936998794486084,8.0,392.0,25.886548240110944,75.0,0.625,48.6118513308114,15143.0
